Customer,Customer Name,Posting Date,Document Number,Document Type,Document Type Description,Text,Bill No./Ref. No.,Debit Amount,Credit Amount,Remark
70000446,,,15013682,DG,,Card charges from Apr'26 to Jun'26,,-33587.32,-33587.32,Invalid Posting Date
70000459,,123njnjn,15013688,DG,,Card charges from Apr'26 to Jun'26,,-43599.21,-43599.21,Invalid Posting Date
70000384,,,1300000085,DA,,41937264TERMINAL 1 CARDS SETTL. 20/07/26,,10345.16,10345.16,Invalid Posting Date
70000458,,,2400042216,RW,,,1192318082,-51634,-51634,Invalid Posting Date
70000877,,asdfghj,2400042464,RW,,,1192318330,-76965,-76965,Invalid Posting Date
